year_month;cloud_provider;account_id;environment;total_list_cost;total_net_cost;total_on_demand_cost;total_amortized_cost;total_forecast_monthly_cost;total_budget_amount;avg_budget_utilization_pct;avg_cost_variance_7d_pct;avg_cost_variance_30d_pct;anomaly_count;row_count
2023-01;AWS;acct-001;dev;63.107;504.157;382.675;473.696;183.625;165763.3;0.0011699999999999998;0.053215;-0.066015;0;20
2023-01;AWS;acct-001;prod;11.800.953;9.403.548;3.633.927;8.151.078;39.403.861;5176122.24;0.000795;0.020946;0.061559;0;100
2023-01;AWS;acct-001;staging;185.857;1.406.163;695.039;12.062.870.000.000.000;6.186.297;522613.77;0.001161764705882353;-0.06342352941176471;0.06994117647058824;0;34
2023-01;AWS;acct-002;dev;865.644;66.857;50.215.199.999.999.900;618.317;19.125.639.999.999.900;206968.52;0.000964;0.066108;0.04482;0;25
2023-01;AWS;acct-002;prod;10.198.126;7.833.832;2.952.808;670.195;36.014.589;4962704.29;0.0007416666666666666;0.016754166666666667;0.053826041666666664;0;96
2023-01;AWS;acct-002;staging;17.175.310.000.000.000;1.314.405;720.006;11.347.710.000.000.000;3.994.506;509629.81;0.0007666666666666667;0.06933030303030303;0.05109090909090909;0;33
2023-01;AWS;acct-003;dev;532.203;412.397;33.170.700.000.000.000;383.192;8.346.979.999.999.990;139176.32;0.0006117647058823529;0.08398235294117647;0.04197058823529412;0;17
2023-01;AWS;acct-003;prod;1.139.645;8.789.604;3.365.926;7.618.767;43.660.901;4644827.78;0.000948888888888889;0.060118888888888895;0.04688666666666666;0;90
2023-01;AWS;acct-003;staging;2.477.348;187.667;938.608;168.103;982.692;709281.58;0.0014130434782608696;0.037710869565217395;0.04664782608695652;0;46
2023-01;AWS;acct-004;dev;1.052.106;819.415;601.187;740.154;144.461;209604.24;0.0007;0.07169615384615384;-0.04156923076923077;0;26
2023-01;AWS;acct-004;prod;1.144.027;8.989.189;2.927.355;7.719.718;3.472.336;5037744.35;0.0006734693877551021;0.03737142857142857;0.08383265306122449;0;98
2023-01;AWS;acct-004;staging;1.465.813;1.117.106;57.998.599.999.999.900;97.37;5.854.662;524392.26;0.0011588235294117647;0.06085588235294118;0.08331470588235294;0;34
2023-01;AWS;acct-005;dev;617.106;459.627;328.758;422.036;1.684.187;19.909.363.999.999.900;0.0008874999999999999;0.08111249999999999;0.09962083333333334;0;24
2023-01;AWS;acct-005;prod;10.276.962;8.091.083;2.654.541;6.904.917;49.067.526;4910972.75;0.001011340206185567;0.04887010309278351;0.0217680412371134;0;97
2023-01;AWS;acct-005;staging;20.373.329.999.999.900;1.593.051;963.015;1.440.111;5.945.829;587136.75;0.001031578947368421;0.07708421052631578;0.04263157894736842;0;38
2023-01;AWS;acct-006;dev;375.746;27.026.999.999.999.900;19.852.800.000.000.000;249.781;657.372;101344.55;0.0006416666666666666;0.09095833333333332;0.024950000000000003;0;12
2023-01;AWS;acct-006;prod;9.668.389;7.488.881;3.346.626;6.592.273;36.808.355;4657708.59;0.000821111111111111;0.06479888888888889;0.04923444444444444;0;90
2023-01;AWS;acct-006;staging;1.802.888;141.924;828.103;1.284.627;6.075.035;516564.14;0.0011470588235294118;0.025444117647058822;0.12747058823529414;0;34
2023-01;AWS;acct-007;dev;68.051;515.427;403.154;491.287;1.696.342;162049.44;0.0010578947368421053;0.08293157894736841;0.06369999999999999;0;19
2023-01;AWS;acct-007;prod;1.147.982;8.917.749;2.949.448;764.382;43.308.729;5303095.91;0.0008596153846153846;0.058702884615384615;0.07181057692307692;0;104
2023-01;AWS;acct-007;staging;1.913.183;1.467.792;79.585;129.879;3.453.926;560950.65;0.0006108108108108109;0.09682432432432432;0.06741081081081082;0;37
2023-01;AWS;acct-008;dev;76.773;58.634.100.000.000.000;437.096;554.666;15.876.659.999.999.900;203484.7;0.000772;0.08295999999999999;0.114364;0;25
2023-01;AWS;acct-008;prod;11.795.936;9.001.943;3.168.893;7.731.193;36.652.479;4877477.9;0.0007884210526315789;0.03299789473684211;0.025485263157894737;0;95
2023-01;AWS;acct-008;staging;2.454.533;1.903.724;10.696.940.000.000.000;1.706.908;5.001.495;691137.04;0.0007222222222222223;0.02959777777777778;0.037157777777777776;0;45
2023-01;AWS;acct-009;dev;758.611;563.862;429.847;521.417;1.490.543;216585.69;0.000673076923076923;0.09495769230769231;0.059550000000000006;0;26
2023-01;AWS;acct-009;prod;1.306.176;9.919.319;3.524.894;8.538.659;40.466.796;5572392.35;0.0007504587155963302;0.07817064220183487;0.05074862385321101;0;109
2023-01;AWS;acct-009;staging;1.516.898;116.65;663.599;103.762;2.668.285;439725.09;0.0006103448275862069;0.0824103448275862;0.0519448275862069;0;29
2023-01;AWS;acct-010;dev;648.885;491.212;343.715;452.044;43.521.200.000.000.000;138886.94;0.0032944444444444445;0.06253888888888888;0.0746;0;18
2023-01;AWS;acct-010;prod;10.461.939;8.107.156;2.444.657;6.848.709;26.498.363;4845637.01;0.0005473684210526316;0.049761052631578956;0.09745473684210527;0;95
2023-01;AWS;acct-010;staging;211.891;1.716.583;839.926;1.508.105;5.868.813;485389.11;0.001235483870967742;0.054200000000000005;-0.02715161290322581;0;31
2023-01;Azure;acct-001;dev;640.704;50.727.000.000.000.000;382.903;47.175;5.226.334.999.999.990;182420.73;0.0028782608695652172;0.01030869565217391;0.16966521739130433;0;23
2023-01;Azure;acct-001;prod;9.168.339;7.037.923;23.488.309.999.999.900;6.043.659;25.509.076.999.999.900;4293212.0;0.0005926829268292684;0.07400853658536585;0.030785365853658535;0;82
2023-01;Azure;acct-001;staging;2.671.456;21.749.259.999.999.900;1.279.679;194.304;649.973;728391.43;0.0008893617021276595;0.07355531914893618;0.06904042553191489;0;47
2023-01;Azure;acct-002;dev;960.541;7.140.859.999.999.990;53.194;660.926;2.601.994;237578.53;0.0011206896551724137;0.056834482758620686;0.009906896551724142;0;29
2023-01;Azure;acct-002;prod;10.158.435;7.804.926;2.896.353;6.741.914;30.086.643;4943232.71;0.0006288659793814433;0.08519072164948455;0.059510309278350514;0;97
2023-01;Azure;acct-002;staging;2.468.138;1.937.604;1.092.534;1.740.301;6.147.953;733364.79;0.0008395833333333333;0.048025000000000005;0.04700416666666667;0;48
2023-01;Azure;acct-003;dev;511.221;38.672;310.638;361.029;1.671.619;158959.97;0.00108;0.057330000000000006;-0.05718500000000001;0;20
2023-01;Azure;acct-003;prod;10.383.255;7.719.355;2.615.604;6.649.374;31.414.769;4837547.75;0.0006536842105263159;0.06289473684210525;0.06500736842105263;0;95
2023-01;Azure;acct-003;staging;1.558.579;1.187.807;685.373;1.046.624;4.512.436;528179.0;0.0009176470588235293;0.04626470588235294;0.05426764705882353;0;34
2023-01;Azure;acct-004;dev;533.178;420.136;32.447;396.145;10.296.549.999.999.900;135447.32;0.0007999999999999999;0.07985624999999999;0.17633749999999998;0;16
2023-01;Azure;acct-004;prod;8.805.874;6.834.909;2.564.276;5.930.466;23.873.797;46.436.087.299.999.900;0.0005163043478260869;0.051175;0.06351847826086957;0;92
2023-01;Azure;acct-004;staging;2.217.672;1.672.905;949.338;150.161;6.405.285;637184.45;0.000973170731707317;0.021717073170731706;0.01435609756097561;0;41
2023-01;Azure;acct-005;dev;634.493;474.946;373.836;438.754;1.965.875;200174.35;0.00096;0.056948;0.038636;0;25
2023-01;Azure;acct-005;prod;8.607.505;6.483.126;2.162.072;557.468;2.436.431;4223382.25;0.0005988095238095238;0.07510595238095238;0.038983333333333335;0;84
2023-01;Azure;acct-005;staging;2.413.978;1.864.976;1.002.208;1.599.968;461.087;708866.13;0.0006782608695652173;0.057441304347826086;-0.007995652173913044;0;46
2023-01;Azure;acct-006;dev;477.035;352.145;269.767;323.266;1.957.029;147708.45;0.0013;0.07628333333333333;-0.032350000000000004;0;18
2023-01;Azure;acct-006;prod;9.491.205;7.490.628;313.349;6.547.568;30.198.963;4973618.2;0.0005958333333333333;0.03847604166666667;0.04552604166666666;0;96
