year_month,cloud_provider,account_id,environment,total_list_cost,total_net_cost,total_on_demand_cost,total_amortized_cost,total_forecast_monthly_cost,total_budget_amount,avg_budget_utilization_pct,avg_cost_variance_7d_pct,avg_cost_variance_30d_pct,anomaly_count,row_count
2023-01,AWS,acct-001,dev,63.107,50.4157,38.2675,47.3696,183.625,165763.3,0.0011699999999999,0.053215,-0.066015,0,20
2023-01,AWS,acct-001,prod,1180.0953,940.3548,363.3927,815.1078,3940.3861,5176122.24,0.000795,0.020946,0.061559,0,100
2023-01,AWS,acct-001,staging,185.857,140.6163,69.5039,120.6287,618.6297,522613.77,0.0011617647058823,-0.0634235294117647,0.0699411764705882,0,34
2023-01,AWS,acct-002,dev,86.5644,66.857,50.2152,61.8317,191.2564,206968.52,0.000964,0.066108,0.04482,0,25
2023-01,AWS,acct-002,prod,1019.8126,783.3832,295.2808,670.195,3601.4589,4962704.29,0.0007416666666666,0.0167541666666666,0.0538260416666666,0,96
2023-01,AWS,acct-002,staging,171.75310000000002,131.4405,72.0006,113.4771,399.4506,509629.81,0.0007666666666666,0.069330303030303,0.051090909090909,0,33
2023-01,AWS,acct-003,dev,53.2203,41.2397,33.170700000000004,38.3192,83.46979999999999,139176.32,0.0006117647058823,0.0839823529411764,0.0419705882352941,0,17
2023-01,AWS,acct-003,prod,1139.645,878.9604,336.5926,761.8767,4366.0901,4644827.78,0.0009488888888888,0.0601188888888888,0.0468866666666666,0,90
2023-01,AWS,acct-003,staging,247.7348,187.667,93.8608,168.103,982.692,709281.58,0.0014130434782608,0.0377108695652173,0.0466478260869565,0,46
2023-01,AWS,acct-004,dev,105.2106,81.9415,60.1187,74.0154,144.461,209604.24,0.0007,0.0716961538461538,-0.0415692307692307,0,26
2023-01,AWS,acct-004,prod,1144.027,898.9189,292.7355,771.9718,3472.336,5037744.35,0.0006734693877551,0.0373714285714285,0.0838326530612244,0,98
2023-01,AWS,acct-004,staging,146.5813,111.7106,57.9986,97.37,585.4662,524392.26,0.0011588235294117,0.0608558823529411,0.0833147058823529,0,34
2023-01,AWS,acct-005,dev,61.7106,45.9627,32.8758,42.2036,168.4187,199093.64,0.0008874999999999,0.0811124999999999,0.0996208333333333,0,24
2023-01,AWS,acct-005,prod,1027.6962,809.1083,265.4541,690.4917,4906.7526,4910972.75,0.0010113402061855,0.0488701030927835,0.0217680412371134,0,97
2023-01,AWS,acct-005,staging,203.7333,159.3051,96.3015,144.0111,594.5829,587136.75,0.0010315789473684,0.0770842105263157,0.0426315789473684,0,38
2023-01,AWS,acct-006,dev,37.5746,27.027,19.8528,24.9781,65.7372,101344.55,0.0006416666666666,0.0909583333333333,0.02495,0,12
2023-01,AWS,acct-006,prod,966.8389,748.8881,334.6626,659.2273,3680.8355,4657708.59,0.0008211111111111,0.0647988888888888,0.0492344444444444,0,90
2023-01,AWS,acct-006,staging,180.2888,141.924,82.8103,128.4627,607.5035,516564.14,0.0011470588235294,0.0254441176470588,0.1274705882352941,0,34
2023-01,AWS,acct-007,dev,68.051,51.5427,40.3154,49.1287,169.6342,162049.44,0.0010578947368421,0.0829315789473684,0.0636999999999999,0,19
2023-01,AWS,acct-007,prod,1147.982,891.7749,294.9448,764.382,4330.8729,5303095.91,0.0008596153846153,0.0587028846153846,0.0718105769230769,0,104
2023-01,AWS,acct-007,staging,191.3183,146.7792,79.585,129.879,345.3926,560950.65,0.0006108108108108,0.0968243243243243,0.0674108108108108,0,37
2023-01,AWS,acct-008,dev,76.773,58.6341,43.7096,55.4666,158.76659999999998,203484.7,0.000772,0.0829599999999999,0.114364,0,25
2023-01,AWS,acct-008,prod,1179.5936,900.1943,316.8893,773.1193,3665.2479,4877477.9,0.0007884210526315,0.0329978947368421,0.0254852631578947,0,95
2023-01,AWS,acct-008,staging,245.4533,190.3724,106.9694,170.6908,500.1495,691137.04,0.0007222222222222,0.0295977777777777,0.0371577777777777,0,45
2023-01,AWS,acct-009,dev,75.8611,56.3862,42.9847,52.1417,149.0543,216585.69,0.0006730769230769,0.0949576923076923,0.05955,0,26
2023-01,AWS,acct-009,prod,1306.176,991.9319,352.4894,853.8659,4046.6796,5572392.35,0.0007504587155963,0.0781706422018348,0.050748623853211,0,109
2023-01,AWS,acct-009,staging,151.6898,116.65,66.3599,103.762,266.8285,439725.09,0.0006103448275862,0.0824103448275862,0.0519448275862069,0,29
2023-01,AWS,acct-010,dev,64.8885,49.1212,34.3715,45.2044,435.2120000000001,138886.94,0.0032944444444444,0.0625388888888888,0.0746,0,18
2023-01,AWS,acct-010,prod,1046.1939,810.7156,244.4657,684.8709,2649.8363,4845637.01,0.0005473684210526,0.0497610526315789,0.0974547368421052,0,95
2023-01,AWS,acct-010,staging,211.891,171.6583,83.9926,150.8105,586.8813,485389.11,0.0012354838709677,0.0542,-0.0271516129032258,0,31
2023-01,Azure,acct-001,dev,64.0704,50.727,38.2903,47.175,522.6334999999999,182420.73,0.0028782608695652,0.0103086956521739,0.1696652173913043,0,23
2023-01,Azure,acct-001,prod,916.8339,703.7923,234.8831,604.3659,2550.9077,4293212.0,0.0005926829268292,0.0740085365853658,0.0307853658536585,0,82
