date,year,month,day,day_of_week,is_month_start,is_month_end,cloud_provider,account_id,project_id,environment,business_unit,department,cost_center,region,service,resource_type,usage_quantity,usage_unit,list_cost,savings_plan_coverage_pct,reserved_instance_coverage_pct,discount_rate_pct,discount_amount,net_cost,on_demand_cost,reserved_savings,savings_plan_savings,spot_savings,amortized_cost,forecast_monthly_cost,budget_amount,budget_utilization_pct,budget_status,cost_variance_7d_pct,cost_variance_30d_pct,anomaly_score,is_anomaly,currency,tags
2023-01-01,2023,1,1,6,1,0,AWS,acct-001,project-001,staging,Finance,Mobile,CC-1004,us-west-2,Serverless,ObjectStorage,53.0041,request-million,4.7704,0.6245,0.0174,0.1977,0.943,3.8274,1.3705,0.0072,0.3436,0.0,3.4767,3.8274,15403.12,0.0002,under,-0.2341,-0.221,0.4238,0,USD,team=Mobile;bu=Finance;env=staging;provider=AWS;service=Serverless
2023-01-01,2023,1,1,6,1,0,Azure,acct-001,project-002,prod,Marketing,BI,CC-1010,us-east-1,Container,BlockStorage,103.6683,container-hours,12.4402,0.2382,0.0933,0.385,4.7898,7.6504,5.1146,0.1314,0.216,0.0,7.303,7.6504,44192.54,0.0002,under,0.2585,0.1434,0.4546,0,USD,team=BI;bu=Marketing;env=prod;provider=Azure;service=Container
2023-01-01,2023,1,1,6,1,0,AWS,acct-001,project-003,staging,HR,DataPlatform,CC-1007,ap-south-1,Database,LoadBalancer,45.7841,DB-hours,5.9519,0.4932,0.0092,0.1298,0.7723,5.1796,2.5775,0.0082,0.2962,0.0,4.8752,5.1796,13972.15,0.0004,under,-0.1894,-0.1498,0.3643,0,USD,team=DataPlatform;bu=HR;env=staging;provider=AWS;service=Database
2023-01-01,2023,1,1,6,1,0,GCP,acct-001,project-004,prod,Engineering,Mobile,CC-1004,eu-west-1,Serverless,ObjectStorage,86.5685,request-million,7.7912,0.1198,0.4375,0.1072,0.8351,6.956,3.0796,0.593,0.2482,0.0,6.1148,6.956,53700.0,0.0001,under,0.0842,0.2162,0.3898,0,USD,team=Mobile;bu=Engineering;env=prod;provider=GCP;service=Serverless
2023-01-01,2023,1,1,6,1,0,Azure,acct-001,project-005,staging,Marketing,DataPlatform,CC-1006,eu-west-1,Compute,RDS,66.6778,vCPU-hours,9.3349,0.397,0.1436,0.1244,1.1614,8.1735,3.7548,0.2638,0.8987,1.4595,5.5514,8.1735,13500.08,0.0006,under,-0.1662,0.2705,0.3696,0,USD,team=DataPlatform;bu=Marketing;env=staging;provider=Azure;service=Compute
2023-01-01,2023,1,1,6,1,0,Azure,acct-001,project-006,staging,Sales,Security,CC-1007,us-west-2,Storage,LambdaFunction,37.7067,GB-month,3.7707,0.529,0.1722,0.1035,0.3902,3.3804,1.0098,0.0815,0.4222,0.0,2.8767,3.3804,15881.15,0.0002,under,-0.0191,0.1363,0.2064,0,USD,team=Security;bu=Sales;env=staging;provider=Azure;service=Storage
2023-01-01,2023,1,1,6,1,0,GCP,acct-001,project-007,prod,HR,DataPlatform,CC-1002,ap-south-1,Container,NoSQL,107.4292,container-hours,12.8915,0.2381,0.1761,0.1054,1.3582,11.5333,6.756,0.2047,0.6713,0.0,10.6573,11.5333,55094.41,0.0002,under,0.3331,0.2858,0.4665,0,USD,team=DataPlatform;bu=HR;env=prod;provider=GCP;service=Container
2023-01-01,2023,1,1,6,1,0,AWS,acct-001,project-008,prod,Engineering,Security,CC-1010,us-west-2,Database,BlockStorage,86.0487,DB-hours,11.1863,0.545,0.3182,0.0502,0.5616,10.6248,1.4529,0.6121,0.6016,0.0,9.4111,10.6248,58759.23,0.0002,under,0.2772,0.3485,0.398,0,USD,team=Security;bu=Engineering;env=prod;provider=AWS;service=Database
2023-01-01,2023,1,1,6,1,0,GCP,acct-001,project-009,prod,HR,DataPlatform,CC-1002,eu-central-1,Container,ObjectStorage,134.82,container-hours,16.1784,0.3729,0.0755,0.2809,4.5447,11.6337,6.4177,0.2956,0.5771,0.0,10.761,11.6337,51734.29,0.0002,under,0.114,0.4679,0.5342,0,USD,team=DataPlatform;bu=HR;env=prod;provider=GCP;service=Container
2023-01-01,2023,1,1,6,1,0,GCP,acct-001,project-010,staging,Marketing,Mobile,CC-1007,ap-southeast-1,Database,KubernetesCluster,62.284,DB-hours,8.0969,0.316,0.0496,0.0724,0.5863,7.5106,4.7646,0.0392,0.5003,0.0,6.9711,7.5106,15839.31,0.0005,under,-0.2457,0.2371,0.2599,0,USD,team=Mobile;bu=Marketing;env=staging;provider=GCP;service=Database
